ID	SEX	MUMID	TWIN	BIRTHYEAR	DEADAGE	DEADAGE.m	Jaw	Leg
1756	1	5691	0	24	0	11	103.32	73.99
1257	1	6300	NA	6	6	NA	121.4	81.25
5295	2	5287	0	23	0	9	93.48	73
4934	1	5751	NA	26	8	NA	126.9	80.45
2541	2	4101	NA	27	3	NA	117.61	86.17
2908	2	6653	0	24	0	11	105.7	80.85
7790	1	3785	1	26	0	9	94.94	73.09
3882	1	1971	0	24	0	11	99.15	75.27
8683	2	6621	0	29	0	11	103.82	NA
3538	1	149	0	24	0	12	104.5	76.25
783	2	5956	NA	26	5	NA	123.28	76.76
4932	1	4246	0	8	0	10	91.39	64.2
2234	2	5436	NA	26	8	NA	131.42	83.49
6006	1	4485	NA	26	8	NA	126.88	85.28
5670	1	3270	NA	11	3	NA	120.35	83.2
3860	1	64	1	18	0	10	93.59	69.8
5581	2	7642	0	24	0	11	104.09	75.89
788	2	8901	1	12	0	10	95.51	71.79
6022	2	1623	0	29	0	10	100.08	NA
7261	1	2240	NA	3	1	NA	118.66	NA
7447	1	6400	NA	20	1	NA	116.46	NA
581	2	2658	0	24	0	8	94.6	67.45
7202	1	8321	NA	18	7	NA	127.2	83.8
2196	1	8732	NA	14	7	NA	119.9	79.27
6142	1	8289	NA	23	1	NA	113.91	78.07
1063	2	1793	NA	22	1	NA	111.02	76.24
3343	2	8973	1	1	0	7	85.4	58.67
7584	1	6174	NA	6	4	NA	118.28	NA
3020	1	3785	1	8	0	12	91.24	68.76
6669	1	1983	0	24	0	10	98.5	72.9
5495	2	263	NA	4	8	NA	130.37	81.43
6782	1	75	0	24	0	11	98.75	68.25
795	1	7613	NA	29	10	NA	123.16	83.5
4226	1	6647	0	26	0	10	102.71	79.01
3265	2	1241	0	27	0	11	101.8	77.4
7775	1	5631	0	9	0	9	101.21	77.6
5663	2	1916	NA	2	3	NA	117.28	88.85
8410	1	945	0	11	0	11	99.07	71.73
1027	2	8685	NA	7	1	NA	120.8	78.25
8686	2	8958	NA	20	1	NA	104.73	NA
8168	2	8234	NA	2	6	NA	120.55	78.15
1684	2	4000	NA	3	1	NA	116.8	77.02
3823	2	4991	0	19	0	11	96.1	68.57
7557	1	2467	1	13	0	4	85.02	63.24
8823	2	8973	0	15	0	11	101.83	76.65
3327	1	1760	0	15	0	11	99.12	76.35
8355	2	8321	0	29	0	11	104.59	NA
220	2	1221	NA	16	2	NA	118.11	86.43
3332	1	1969	0	13	0	12	100.63	72.86
2769	1	5108	NA	26	8	NA	126.29	80.66
5247	1	6001	NA	22	1	NA	111.95	74.53
4024	2	5959	1	22	0	10	95.52	74.77
798	2	7424	0	6	0	11	103.45	74.44
7262	2	8316	1	12	0	9	98.29	69.09
6133	2	1164	0	22	0	11	104.28	75.37
6529	2	5920	NA	9	1	NA	120.41	81.43
6177	2	1207	0	25	0	11	98.33	69.79
5571	1	8164	0	24	0	12	103.3	75.3
1805	1	556	NA	3	8	NA	122.52	80.43
5097	1	1949	NA	26	1	NA	113.38	84.16
2357	2	2196	0	12	0	12	102.5	77.9
6627	1	6158	NA	22	1	NA	110.45	77.85
8496	1	9017	1	23	0	12	105.24	77.08
6957	2	2549	0	19	0	11	96.61	70.23
6187	2	8605	0	13	0	12	103.56	74.07
3680	2	8836	NA	20	3	NA	122.5	79.04
6590	1	8116	0	11	0	11	92.5	61.8
6687	2	240	NA	20	1	NA	123.87	NA
7221	1	7434	NA	3	7	NA	126.04	78.39
4330	2	3782	0	1	0	11	100.37	74.06
5916	2	8865	1	17	0	11	103.85	NA
7577	1	5879	NA	2	1	NA	110.83	80.47
99	1	9023	NA	16	2	NA	115.89	77.98
5791	2	8533	0	19	0	9	96.91	70.51
8034	2	2217	0	11	0	10	99.58	73.22
8249	1	8364	NA	2	13	NA	124.01	79.48
3828	2	2467	1	24	0	9	99.6	73.3
1317	1	7034	0	22	0	11	96.74	74.72
1546	2	4538	NA	15	2	NA	119.41	89
3479	1	2134	0	22	0	11	99.21	72.9
8089	2	4704	0	12	0	11	106.08	78.74
3465	2	8249	NA	7	1	NA	112.25	81.45
7538	1	5920	1	27	0	12	97.57	68.24
8072	2	795	0	6	0	11	99.09	73.44
4835	1	8533	0	8	0	12	90.74	63.78
421	2	183	0	24	0	11	101.99	NA
8672	1	535	0	11	0	11	95.72	74.8
6803	1	6001	NA	7	1	NA	113.25	88.5
1103	1	4256	0	11	0	11	107.39	77.19
1178	1	5108	NA	26	1	NA	110.28	75.58
7895	2	7202	1	24	0	10	100.4	74.5
7319	1	6271	0	29	0	12	104.07	NA
1455	2	1299	0	1	0	11	96.47	70.52
5583	1	7663	NA	26	1	NA	118.36	83.36
1714	1	5262	NA	21	2	NA	121.79	NA
5371	1	149	NA	26	8	NA	123.38	83.6
1141	2	2780	1	18	0	11	98.82	67.37
3499	1	2070	NA	2	6	NA	110.1	78.1
5402	1	4872	0	22	0	5	61.03	50.82
5867	2	901	NA	16	2	NA	116.78	84.1
7554	1	5900	0	24	0	12	102.25	76.7
6459	2	6174	NA	20	1	NA	119.58	NA
4697	1	809	0	24	0	12	98.64	68.16
3917	2	4179	1	24	0	8	94.5	67.4
3637	1	4485	NA	8	6	NA	120.65	75.91
5683	1	6778	0	18	0	8	97.41	70.23
7431	1	8567	1	18	0	8	NA	68.24
7012	2	5928	1	24	0	10	102.25	75.25
4221	2	5689	NA	7	1	NA	107.2	76.9
6938	1	1692	1	29	0	11	94.26	NA
6657	1	3111	0	13	0	11	103.01	75.08
2965	1	1037	0	24	0	11	100.65	72.8
7383	1	8504	1	12	0	8	85.41	NA
6912	2	8734	0	22	0	7	90.68	70.07
64	1	1916	NA	3	10	NA	116.38	NA
177	1	5146	0	1	0	10	92.52	66.95
4063	2	8973	1	1	0	8	92.33	65.64
5603	2	1783	NA	2	3	NA	122.97	83.36
545	2	8932	0	8	0	11	97.36	73.46
6226	1	8669	NA	3	4	NA	128.11	86.98
8965	2	6300	NA	3	8	NA	125.46	80.68
9004	2	4739	NA	13	3	NA	126.68	89.45
8668	1	64	1	23	0	11	98.18	71.62
1222	2	1472	1	12	0	9	96.9	70.43
1252	2	7339	0	29	0	11	103.79	NA
588	2	4306	1	16	0	12	96.37	66.76
3067	2	4347	0	16	0	12	97.51	75.5
8408	1	9013	0	27	0	10	89.99	63.02
7894	2	5287	NA	5	1	NA	106.53	75.33
2786	1	2975	0	15	0	12	89.87	68.47
6113	2	2476	NA	6	5	NA	125.1	82.69
830	2	2188	0	15	0	11	100.61	64.15
245	1	5169	NA	4	4	NA	118.1	79.83
5324	1	4085	0	22	0	12	98.04	73.84
8052	1	6132	NA	7	1	NA	116.75	81.4
8807	2	3539	0	11	0	11	94.99	67.15
769	2	7636	0	7	0	11	97.96	NA
8271	2	3364	NA	2	1	NA	118.16	80.05
6443	1	8293	NA	2	9	NA	121.49	80.12
1930	1	3650	NA	19	1	NA	111.45	77.14
5462	2	450	0	19	0	7	80.92	59.64
5531	2	3983	NA	3	1	NA	116.48	84.37
1947	2	2077	NA	27	3	NA	126.44	81.2
4463	1	4506	NA	20	1	NA	117.79	NA
8581	2	7003	0	19	0	12	103.61	79.27
6298	1	5057	0	12	0	12	100.95	80.12
5191	2	8108	NA	3	1	NA	116.75	75.06
4711	1	8103	1	24	0	10	92.05	72.99
2052	1	476	NA	23	8	NA	124.1	80.8
8378	1	765	0	11	0	11	103.28	74.92
3196	1	552	NA	5	2	NA	117.55	81.83
7559	2	3874	0	11	0	10	97.13	72.11
881	2	8376	0	22	0	11	103.2	73.99
2700	1	6858	NA	3	8	NA	120.46	83.73
6421	1	4256	0	16	0	11	102.68	71.49
2279	1	3356	NA	4	8	NA	125.36	81.06
6824	2	7008	0	19	0	11	97.44	73.41
7305	1	4252	NA	8	6	NA	115.01	74.91
6794	2	6788	NA	4	2	NA	118.13	84.89
2275	2	5296	NA	14	2	NA	115.55	77.65
762	1	8289	NA	23	5	NA	125.43	80.06
7859	2	7636	0	11	0	11	99.67	69.66
5314	1	692	NA	5	12	NA	127.79	83.18
4982	1	4499	0	1	0	10	102.73	78.82
1241	1	6555	NA	26	8	NA	116.32	68.82
3673	2	8079	1	13	0	12	97.57	75.24
8032	1	6257	0	24	0	11	95.75	74.8
8180	1	2966	0	11	0	11	100.02	70.08
4426	1	7842	NA	14	7	NA	118.45	79.46
1788	2	1725	0	12	0	10	89.09	69.5
4814	1	2975	0	19	0	11	90.65	72.26
4252	1	6647	NA	4	9	NA	123.62	84.04
8135	2	5981	0	13	0	10	105.08	71.68
6908	1	2682	NA	29	3	NA	124.5	80.01
5575	2	7779	1	22	0	12	94.51	71.71
374	2	2935	NA	26	8	NA	125.03	79.13
1984	1	2697	NA	11	3	NA	119.35	79.6
2384	2	3270	NA	16	2	NA	115.43	81.05
4	1	1794	NA	27	3	NA	120.2	85.82
7375	1	6443	0	12	0	9	95.44	76.76
8484	1	7779	0	16	0	12	102.54	79.79
465	1	2476	NA	3	7	NA	120.17	81.71
4856	2	7448	1	22	0	10	96.54	74.24
5879	1	8321	NA	25	9	NA	122.53	83.21
5429	1	6764	NA	7	1	NA	109.1	75.75
5019	2	1164	NA	26	8	NA	124.83	83.05
3968	1	7434	1	6	0	11	102.62	73.83
6572	1	2899	NA	4	2	NA	115.36	NA
845	1	6846	0	12	0	11	100.13	71.39
5318	1	6858	NA	23	5	NA	126.36	78.03
6713	1	4426	0	13	0	9	89.46	62.36
4583	1	2934	0	13	0	12	105.6	77.39
4019	1	7840	0	6	0	12	103.97	80.88
8187	2	1532	0	24	0	11	102.06	73.78
2272	1	5499	NA	13	4	NA	120.01	84.26
8721	2	5516	0	24	0	11	96.6	71.5
4749	1	1398	0	8	0	12	97.74	70.37
2958	2	3857	1	12	0	9	92.99	71.34
8703	1	1024	NA	14	5	NA	123.09	84.82
5875	1	5580	NA	26	1	NA	110.4	78.46
8608	2	4538	NA	27	3	NA	120.54	79.23
5780	2	7888	0	19	0	11	89.11	69.42
4836	1	7613	NA	20	11	NA	125.5	79.47
109	2	8669	0	6	0	12	105.9	79.07
3289	1	6937	NA	8	4	NA	124.86	77.12
1757	2	4626	NA	2	1	NA	108.56	78.58
971	1	442	0	12	0	10	104.48	77.72
5499	1	3356	NA	26	8	NA	119.39	80.47
8526	1	2966	NA	16	12	NA	121.27	82.21
6652	2	4485	1	12	0	9	95.67	66.62
3237	1	6237	0	13	0	11	101.5	73.48
5054	1	8407	0	27	0	11	98.24	71.56
6485	1	2839	0	11	0	12	99.05	75.81
4428	2	3994	0	22	0	12	104.55	76.39
3990	2	7221	NA	2	1	NA	111.1	78.08
3839	1	3483	NA	8	6	NA	123.13	85.24
1463	1	968	0	1	0	11	94.02	68.93
1326	2	1568	0	11	0	12	100.13	70.04
6593	2	6184	0	1	0	9	101.39	77.81
6827	2	7158	NA	15	2	NA	117.97	87.83
2897	1	6858	0	6	0	12	108.83	NA
4699	1	7202	NA	22	1	NA	117.55	79.15
6937	1	7956	NA	16	12	NA	124.16	80.14
5709	1	43	1	23	0	11	99.34	74.73
8035	2	821	NA	3	8	NA	129.06	84
7154	2	8603	0	1	0	9	94.18	77.79
7379	2	7221	NA	5	2	NA	116.96	77.66
8020	2	1288	0	22	0	12	104.54	75.74
3972	1	6849	0	2	0	11	100.57	68.12
3879	1	745	NA	4	9	NA	129.37	81.88
6825	2	8541	0	23	0	12	101.36	75.96
5631	1	4783	NA	7	9	NA	124.2	87.17
