ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
7638	1	1916	0	3	23	3.3
5909	2	7140	0	2	22	1.6
3295	1	1241	0	2	9	1.4
1399	2	6215	1	1	22	1.6
4404	2	5881	1	2	26	2.1
6019	1	1164	0	1	7	2.6
7842	1	6400	0	1	29	3.3
8723	1	3594	0	1	13	1.9
5874	1	2240	1	1	29	1.4
2339	2	6001	1	4	26	1.9
8370	1	1916	0	1	29	2.6
7986	1	8946	0	3	15	1.75
5400	2	6299	0	2	15	2.55
4129	2	762	1	2	16	1.5
8321	1	5642	0	2	21	2.1
1309	2	3214	0	0	17	1.5
5758	2	7663	0	4	7	2.7
7026	1	7615	1	2	8	1.5
5635	1	6843	0	1	8	1.8
1168	2	7499	0	2	22	2.4
1115	1	3986	0	2	18	2.2
7250	1	7519	0	2	8	1.9
5596	1	8200	1	1	6	1.6
4411	1	37	1	1	6	1.8
2415	2	5057	0	4	14	1.5
6039	2	8734	0	0	25	1.1
7611	2	5422	0	1	20	2.1
293	1	2196	0	1	8	2.35
1018	2	6994	0	2	13	2.4
3956	2	3832	1	2	23	2.2
4937	2	745	1	2	26	2
6379	2	1207	0	1	21	1.4
3195	2	125	0	2	9	2.5
8849	2	2697	1	2	22	2.2
4391	1	4347	0	2	2	1.9
1440	1	2537	0	1	29	2.9
3748	2	7355	1	1	18	1.5
314	2	8037	0	0	4	1.3
4713	1	5959	1	2	22	1.7
233	2	6132	0	2	11	2
7643	1	8970	1	2	4	0.85
4151	2	4000	1	1	20	2.2
1787	1	5325	0	1	5	1
3111	1	4085	0	2	7	1.8
4420	2	465	0	0	5	1
8307	2	3568	0	0	21	1.3
8256	2	8848	1	2	6	1.9
3633	1	4482	1	3	16	1.6
2742	1	7892	0	3	5	2.2
8091	1	3054	1	2	27	1.1
7464	1	4783	0	1	13	2.3
7085	1	5960	0	3	15	2.8
3671	1	515	0	1	11	2.3
2092	2	6215	1	2	2	1.6
3769	1	8234	0	2	16	2.3
2749	1	6526	0	5	4	1.55
285	2	8249	1	1	7	2.4
7214	2	7908	0	4	5	2.5
146	1	515	0	2	2	2.5
4693	2	6161	0	1	22	2.5
6521	1	3558	1	1	27	1.5
1424	2	7710	0	2	5	1.9
7156	1	5505	0	2	11	2.2
2305	1	3776	0	1	4	1.35
6693	2	2780	1	2	22	1.5
692	1	552	0	1	29	2.3
5200	2	8249	0	2	22	2.6
795	1	7613	0	1	29	2.5
4485	1	1037	0	3	7	2.1
8525	1	1235	0	1	29	1.8
6743	1	5956	0	3	22	1.8
5499	1	3356	1	2	26	1.5
5685	1	5580	0	3	12	2.4
4276	1	4000	1	2	25	2.3
5916	2	8865	1	0	17	2.3
325	1	4192	0	2	22	2.6
28	1	4514	1	4	4	1.4
6124	2	1604	0	0	29	1.6
6610	2	2857	0	0	21	1.9
1916	1	8866	0	2	21	2.2
3938	2	4822	0	2	29	3.3
8299	1	183	1	2	7	1.9
6856	1	2196	0	5	7	1
6793	1	6994	1	2	9	1.45
8615	2	1993	0	2	22	2
5481	2	1510	0	1	29	2.7
2892	1	3857	1	1	9	0.9
2058	2	7912	0	4	27	3.2
7433	2	7908	0	3	18	3.1
1871	2	8560	0	1	12	2.35
111	1	9023	0	4	23	1.5
7975	1	3376	0	2	18	2.8
5298	1	6232	0	4	14	2
5188	1	3539	0	2	12	2.4
7832	2	162	0	1	16	1
3857	1	8341	0	2	7	2
296	2	4770	0	2	14	2
335	1	2515	0	2	11	2.5
555	1	5881	0	2	16	3.1
110	1	3432	0	0	5	1.4
8909	1	1794	0	4	12	1.25
4384	1	1375	0	3	25	2.7
4886	1	5859	0	3	15	1.95
4432	2	2700	0	4	11	2.8
6516	1	8600	0	2	2	2.8
6604	2	5928	0	1	26	3.1
4510	2	535	0	3	14	2.7
4229	1	5556	0	2	12	2.8
8054	2	7636	0	3	14	2.1
3572	1	2980	0	1	11	2.4
7990	1	7898	0	1	27	2.15
360	1	6400	0	0	21	1.8
8168	2	8234	0	3	2	1.5
7964	2	8030	0	2	15	1.7
2321	1	1529	0	0	21	1.6
7708	2	8361	0	1	13	2.3
6129	2	4192	0	1	2	1.7
5655	2	3733	0	4	13	2.8
