ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
4289	1	5550	1	2	11	1.3
1580	2	1241	0	3	15	2.25
6784	2	5419	0	2	21	2.1
7931	1	7201	1	3	5	1.7
8547	2	5084	1	3	26	2.5
8358	1	7068	0	1	22	2.4
6524	2	6765	0	2	18	2.7
7551	2	3650	0	4	1	2.55
6961	2	7432	0	2	8	2.2
7182	2	5499	1	3	27	1.6
8011	2	382	0	2	19	2.6
8870	1	2635	0	1	27	1.35
6971	2	3733	0	1	26	2.4
141	2	8526	0	2	4	2.85
6162	1	6006	0	5	19	3
1125	1	5108	0	2	14	1.9
8623	1	3834	1	1	18	1.1
6685	1	3603	0	1	29	2.3
7862	1	8293	1	2	7	2.2
6120	1	8342	0	2	22	2
2731	2	8740	0	5	7	3.5
4663	1	5516	0	0	7	1.1
6953	1	81	0	3	11	1.7
406	1	1725	0	1	27	2.95
2272	1	5499	0	4	13	2.3
3376	1	6778	0	2	25	1.8
4107	2	5673	0	1	11	2.6
5846	2	8729	0	1	5	1.1
8580	2	587	0	1	29	3.1
1800	2	2913	0	3	6	2.9
260	1	7519	0	3	4	1.75
4132	2	8376	1	2	12	1.55
7140	1	6161	0	3	5	1.7
6970	2	5564	0	3	19	1.6
40	2	2966	0	0	12	2.7
774	1	8021	1	5	8	1.7
2688	2	6384	0	2	23	1.6
7906	1	2034	0	2	13	2.2
673	1	5312	0	1	1	1.65
9053	1	5108	0	2	12	2.4
6510	2	3506	0	2	16	2.9
6916	2	8788	0	2	5	1.9
4575	1	1969	1	1	15	1.8
3799	1	8685	0	2	4	3.1
570	2	1568	0	3	23	3
8472	2	7421	1	2	20	2
8166	1	6015	0	3	22	2.3
9015	1	1286	0	5	16	1.6
5985	1	6096	0	4	10	1.95
5590	1	3766	0	1	29	1.6
4653	2	7434	0	1	29	2.6
7448	1	6792	0	2	5	2.1
7157	2	1375	0	2	5	2.7
3641	1	8732	0	2	8	2.1
8970	1	2062	0	2	22	2.5
4224	2	4265	0	3	15	2.7
2184	1	4358	0	1	3	1.8
8528	1	3719	0	4	1	2.65
2608	2	2279	0	0	12	1.75
7277	2	1833	0	1	9	2.45
4863	2	7506	1	2	16	2.4
2388	2	7615	1	2	8	1.85
4273	1	2769	0	1	27	2.35
3936	1	3483	0	5	12	1.55
2404	2	4482	1	3	16	2.3
7519	1	6159	0	5	11	2.8
28	1	4514	1	4	4	1.4
3694	1	3476	1	3	27	1.35
2861	1	1107	1	3	23	2.1
4795	1	5580	1	2	27	1.05
5387	2	7263	0	2	1	2.3
546	1	5371	0	3	9	2.65
6873	2	3801	0	2	23	1.6
564	2	1916	1	2	6	2.2
6775	1	7929	0	2	18	1.8
5891	2	465	0	2	2	2.6
442	1	2515	0	2	2	2
1751	1	5009	0	2	16	1.8
8479	1	4820	1	1	29	1.6
5780	2	7888	0	2	19	2.05
8973	1	255	0	1	13	2.5
1021	2	3644	0	0	21	1.5
2813	2	772	1	1	8	1.45
2742	1	7892	0	3	5	2.2
7314	2	6215	0	2	5	2.1
2544	2	5357	0	3	9	3.25
3586	1	5959	1	1	11	1.7
8368	1	968	0	4	9	1.45
8668	1	64	1	4	23	1.8
4059	2	3857	0	2	13	2.95
391	1	3879	1	0	1	1.35
2963	1	6300	0	0	25	1.9
5654	1	6645	1	0	5	0.7
812	2	7979	0	1	19	1.45
4482	1	9017	0	2	5	2
6377	2	5831	0	2	22	3
3776	1	5296	0	2	7	2.4
7244	2	3914	0	0	17	2.7
6163	2	3065	0	2	20	2.5
4195	1	5920	0	4	15	2.65
4920	1	2823	0	1	9	1.95
5388	1	7519	0	2	12	1.85
1925	1	3366	0	3	11	2
6952	1	5670	0	2	7	1.7
203	2	1568	0	5	4	1.75
3574	2	2839	0	2	16	2.2
6643	2	2274	0	5	11	1.6
1105	1	240	0	2	18	2.7
2497	1	6778	0	2	5	1.8
3232	2	5631	0	1	26	2.2
44	1	4328	0	2	23	2.6
4966	2	3356	0	5	7	3
1112	1	4514	1	2	12	1.4
7334	2	3871	0	2	14	2.4
3787	1	3027	1	1	29	1.4
3171	2	6621	0	2	6	3.1
8509	1	8281	0	2	15	2.5
1067	1	7840	1	2	16	2.6
2776	2	3015	0	2	23	2.9
6563	2	2654	0	0	20	2.6
