animal,dam,sire,Sex,BYEAR,DYEAR,Death.Type,LRS
1844,773,,F,1995,1995,natural,0
1848,773,,F,1995,1995,natural,0
1933,788,,F,1995,1995,natural,0
1934,788,,F,1995,1995,natural,0
1919,801,,F,1995,1995,natural,0
1921,803,,F,1995,1995,natural,0
1928,810,,F,1995,1995,natural,0
1878,912,,F,1995,1995,natural,0
1927,1025,,F,1995,1995,natural,0
2032,1047,,F,1995,1995,natural,0
2030,1047,,F,1995,1995,natural,0
1858,1201,,F,1995,1995,natural,0
1861,1201,,F,1995,1995,natural,0
1863,1201,,F,1995,1995,natural,0
1864,1202,,F,1995,1995,natural,0
1865,1202,,F,1995,1995,natural,0
1869,1203,,F,1995,1995,natural,0
1870,1203,,F,1995,1995,natural,0
1871,1203,,F,1995,1995,natural,0
1872,1203,,F,1995,1995,natural,0
1994,1223,,F,1995,1995,natural,0
1993,1223,,F,1995,1995,natural,0
1963,1269,,F,1995,1995,natural,0
1943,1297,,F,1995,1995,natural,0
1945,1297,,F,1995,1995,natural,0
1950,1298,,F,1995,1995,natural,0
1948,1298,,F,1995,1995,natural,0
1892,1323,,F,1995,1995,natural,0
1893,1323,,F,1995,1995,natural,0
1901,1324,,F,1995,1995,natural,0
2007,1352,,F,1995,1995,natural,0
1895,1357,,F,1995,1995,natural,0
1898,1357,,F,1995,1995,natural,0
1996,1369,,F,1995,1995,natural,0
1910,1377,,F,1995,1995,natural,0
1916,1379,,F,1995,1995,natural,0
1967,1404,,F,1995,1995,natural,0
2020,1578,,F,1995,1995,natural,0
2018,1578,,F,1995,1995,natural,0
2021,1578,,F,1995,1995,natural,0
2009,1580,,F,1995,1995,natural,0
1972,1613,,F,1995,1995,natural,0
1977,1614,,F,1995,1995,natural,0
2024,1618,,F,1995,1995,natural,0
1998,1643,,F,1995,1995,natural,0
1986,1656,,F,1995,1995,natural,0
1987,1656,,F,1995,1995,natural,0
1920,803,,F,1995,1996,natural,0
2010,1580,,F,1995,1996,natural,0
2022,1618,,F,1995,1996,natural,0
1991,1669,,F,1995,1996,natural,0
1917,768,,F,1995,2001,natural,0
1932,760,,F,1995,2005,natural,0
2207,1298,,F,1996,2002,natural,16
2154,1323,,F,1996,2002,natural,15
2187,788,,F,1996,2000,natural,8
2201,1297,,F,1996,1999,natural,6
2278,1569,,F,1996,2000,natural,7
2267,1223,,F,1996,2000,natural,6
2275,1569,,F,1996,2000,natural,6
2262,1988,,F,1996,2002,natural,6
2264,1988,,F,1996,2001,natural,6
2313,1884,,F,1996,1999,natural,2
2165,1324,,F,1996,1997,natural,0
2266,1990,,F,1996,1998,natural,0
2127,625,,F,1996,1996,natural,0
2119,773,,F,1996,1996,natural,0
2120,773,,F,1996,1996,natural,0
2121,773,,F,1996,1996,natural,0
2189,788,,F,1996,1996,natural,0
2180,803,,F,1996,1996,natural,0
2181,803,,F,1996,1996,natural,0
2178,803,,F,1996,1996,natural,0
2185,810,,F,1996,1996,natural,0
2183,810,,F,1996,1996,natural,0
2239,933,,F,1996,1996,natural,0
2238,933,,F,1996,1996,natural,0
2357,1047,,F,1996,1996,natural,0
2359,1047,,F,1996,1996,natural,0
2129,1201,,F,1996,1996,natural,0
2130,1201,,F,1996,1996,natural,0
2135,1203,,F,1996,1996,natural,0
2132,1203,,F,1996,1996,natural,0
2325,1237,,F,1996,1996,natural,0
2328,1237,,F,1996,1996,natural,0
2327,1237,,F,1996,1996,natural,0
2243,1239,,F,1996,1996,natural,0
2240,1239,,F,1996,1996,natural,0
